Carimbo de data/hora;Primeiro, poderia nos dizer qual seu interesse academico;Qual sua idade;Com qual genero voce se identifica;Em qual regiao do Brasil voce mora;Quais redes sociais voce mais utiliza;Quais canais de noticia voce costuma acessar;Nos momentos de lazer o que voce gosta de fazer;Que tipo de entretenimento voce mais consome;Dentro do cenario politico em que vivemos  qual sua posicao em relacao ao atual governo;Em que momento voce se encontra como estudante;Como e sua rotina enquanto estudante;Qual curso voce pretende estudar;Como voce se prepara para o vestibular;Qual o envolvimento dos seus pais durante sua preparac’o para o vestibular;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao renomada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao publica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao privada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao atualizada com o mercado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser gratuita ou ter um preco acessivel;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter atividades complementares na grade de ensino;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter programas de intercŸmbio;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de bolsas de estudo e estagio interno;Quais das seguintes atividades seriam do seu interesse enquanto estudante de Graduacao;Quanto a localizacao da instituicao o que voce considera importante;Pensando em estudar longe de casa  quais beneficios e atrativos uma cidade precisa ter;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes
8/23/2019 16:14:02;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sul;Facebook Instagram Whatsapp Twitter;Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos;Medicina Outro curso de humanas;Faco um curso pre-vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Eles me ajudam financeiramente nos estudos;Vendo a avaliacao da instituicao no site do MEC;3;3;;2;2;3;3;3;3;3;3;Associacao Atletica;nao tenho restricoes quanto a localizacao;Baixo custo de vida;Grupos de Whatsapp E-mail
8/23/2019 16:19:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:27;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:46;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:24:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:27:23;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:28:05;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:35:37;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:36:49;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:27;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:37;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:55;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Blogs e Foruns Podcast;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series Filmes Redes Sociais;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Cursando o ensino medio Cursando um pre-vestibular;Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao;Engenharia Outro curso de exatas Outro curso de biologicas;Faco provas que simulam o vestibular;Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Querem decidir meu curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;2;5;5;5;5;5;3;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo E-sports (Modalidade de esportes eletronicos);Estar localizada na cidade em que eu moro Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade grande e movimentada Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Entretenimento para os finais de semana Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp E-mail Televisao Radio Sites e blogs
8/23/2019 16:37:55;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:38:06;Estou buscando um curso de Graduacao;De 18 a 20 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia;Jogos Series Filmes;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares Atuo como monitor Atuo em projetos de iniciacao cientifica;Engenharia;Leio muitos livros e artigos;Meus pais nao se envolvem;Assistindo videos no Youtube Fazendo uma busca no Google Acessando o site da propria instituicao;5;1;4;5;2;5;2;5;4;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar dentro de uma cidade grande e movimentada;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia;Youtube Grupos de Whatsapp
8/23/2019 16:41:59;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:45:47;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Centro-Oeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Filmes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio Curso tecnico ;Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao Atuo em projetos de iniciacao cientifica;Outro curso de exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;2;3;4;4;5;5;5;4;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos);Estar dentro de uma cidade grande e movimentada Estar localizada numa cidade com baixo custo de vida Estar o mais longe possivel da minha familia nao tenho restricoes quanto a localizacao;Vida noturna agitada Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo custo de vida;Facebook Instagram Youtube E-mail Sites e blogs
8/23/2019 16:48:26;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:56:49;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:58:50;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:00:04;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Jogos;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico pouco tempo aos estudos;Engenharia;Faco um curso pre-vestibular Faco provas que simulam o vestibular;Apoiam minha escolha de curso;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;4;4;5;5;5;3;5;Empreendedorismo Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Vida noturna agitada Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Instagram Grupos de Whatsapp Transporte publico (onibus trem metro etc)
8/23/2019 17:11:22;Estou buscando um curso de Graduacao;Menos de 18 anos;Feminino;Sudeste;Facebook Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas;Musica Series Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao;Engenharia;Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;3;4;5;5;5;5;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Baixo custo de vida;Facebook Youtube E-mail
8/23/2019 17:13:04;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:22:18;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Centro-Oeste;Instagram Youtube Whatsapp;Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Ensino tecnico cursando ;Dedico pouco tempo aos estudos;Outro curso de exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Apoiam minha escolha de curso;Assistindo videos no Youtube Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;2;3;2;3;3;3;3;3;2;3;3;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade pequena e sossegada;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo custo de vida;Instagram
8/23/2019 17:22:40;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Centro-Oeste;Facebook Instagram Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Filmes Redes Sociais Blogs;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Faco o basico para conseguir aprovacao;Engenharia;Estudo em casa por conta propria;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google;5;1;5;5;5;4;1;1;1;1;1;Empreendedorismo;prefiro ead;Transporte publico de qualidade;Facebook Instagram Youtube Grupos de Whatsapp
8/23/2019 17:22:52;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares;Engenharia;Participo de grupos de estudo Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Conversando com meus pais Conversando com amigos Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;3;5;5;5;5;5;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Instagram Sites e blogs
8/23/2019 17:26:44;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:32:07;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;nao moro no Brasil;Facebook;;Ficar em casa vendo series filmes jogando estudando etc;Musica Filmes;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Dedico bastante tempo aos estudos;Engenharia;Faco um curso pre-vestibular;Estao constantemente me orientando quanto a cursos e instituicoes;Assistindo videos no Youtube;5;5;5;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);nao tenho restricoes quanto a localizacao;Entretenimento para os finais de semana;Facebook
8/23/2019 17:49:48;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:59:26;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Youtube Whatsapp Linkedin;Boletim diario do LinkedIn;Ficar em casa tocando teclado.;Jogos Esportes Series Filmes;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Trabalhando para obter dinheiro para estudar.;nao costumo estudar;Engenharia Outro curso de humanas;nao me preparo para o vestibular;Apoiam minha escolha de curso;Conversando com meus pais Conversando com amigos Fazendo uma busca no Google Vendo a avaliacao da instituicao no site do MEC;4;2;2;5;5;5;5;5;2;2;;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Associacao Atletica Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao estar muito longe da minha familia;Baixo indice de violencia Baixo custo de vida;Youtube E-mail midia impressa (revistas jornais panfletos etc)
8/23/2019 18:01:00;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:01:13;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:11:06;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Whatsapp;Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Podcasts;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares;Engenharia Outro curso de exatas;Faco um curso pre-vestibular Estudo em casa por conta propria Faco provas que simulam o vestibular;Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;4;2;5;5;5;5;5;4;4;4;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) E-sports (Modalidade de esportes eletronicos);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook Televisao
